Sentiment Category	  Total sentiment_results	  Average sentiment
    positive	                310	                 202,0966
    neutral	                   113	                     0
    negative	                22	                  -8,611



review_text,summary,cleaned_review,tokenized_review,sentiment_scores,compound_sentiment,sentiment_category
  The shoes are true to size. I am used to wearing running shoes so these have been an adjustment. Overall, the shoe is nice and provides well for my HIIT and Grit classes I take.,  the shoes are true to size i am used to wearing running shoes so these have been an adjustment overall,   shoes true size wearing running shoes adjustment overall,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.4215}",0.4215,positive
  Love them!  I ordered an 8.5 because I usually wear that size but these are a bit big. I wish I ordered an 8. They are really comfortable and I enjoy wearing them.,  Look amazing,  love them  i ordered an  because i usually wear that size but these are a bit big i wish i ordered an  they are really comfortable and i enjoy wearing them,   love   ordered   usually wear size bit big wish ordered   comfortable enjoy wearing,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.9519}",0.9519,positive
  Very comfortable.,  Four Stars,  very comfortable,   comfortable,"{'neg': 0.0, 'neu': 0.218, 'pos': 0.782, 'compound': 0.5563}",0.5563,positive
  Very nice shoes.  Comfortable.,  Five Stars,  very nice shoes  comfortable,   nice shoes   comfortable,"{'neg': 0.0, 'neu': 0.231, 'pos': 0.769, 'compound': 0.7688}",0.7688,positive
  Very comfortable. I love wearing them.,  Five Stars,  very comfortable i love wearing them,   comfortable love wearing,"{'neg': 0.0, 'neu': 0.271, 'pos': 0.729, 'compound': 0.8431}",0.8431,positive
  Great fit so comfortable love them!!!!!,  Five Stars,  great fit so comfortable love them,   great fit comfortable love,"{'neg': 0.0, 'neu': 0.112, 'pos': 0.888, 'compound': 0.9504}",0.9504,positive
  A nice lightweight shoe. Not a lot of cushion so I wouldn't run long distances in them.,  Decent little shoe for the price.,  a nice lightweight shoe not a lot of cushion so i wouldnt run long distances in them,   nice lightweight shoe lot cushion nt run long distances,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",0.4215,positive
  I really love these shoes.  They are attractive and very comfortable.  They work well for my daily workout and fit well.,  Attractive and fit well,  i really love these shoes  they are attractive and very comfortable  they work well for my daily workout and fit well,   love shoes   attractive comfortable   work daily workout fit,"{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.9492}",0.9492,positive
  Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.,  Runs large,  comfortable shoe  first time ive ever bought nikes that feel so large  it feels about  size too big  i bought   i normally wear exactly that size and on occasion an ,   comfortable shoe   time ve bought nikes feel large   feels   size big   bought    normally wear exactly size occasion,"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.5106}",0.5106,positive
  Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.,  One Star,  ordered m received  wide for the second time returned them for the second time,   ordered m received   wide second time returned second time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Nice shoes,  Five Stars,  nice shoes,   nice shoes,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,positive
  This is my second pair of these shoes.  I love the fit and they provide support for walking.  I like the way the shoes fit around my ankle, as many shoes are uncomfortable because they come up too high in the back.  Try them!,  this is my second pair of these shoes  i love the fit and they provide support for walking  i like the way the shoes fit around my ankle,   second pair shoes   love fit provide support walking   like way shoes fit ankle,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.9246}",0.9246,positive
 Color::  Cool Grey/Rage Green/Hyper Turquoise}, reviewerName: L. Jones, color  cool greyrage greenhyper turquoise,  color   cool greyrage greenhyper turquoise,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,positive
  Got them for my girlfriend. She loves them. Says it's like wearing slippers because they are incredibly light.,  Great shoes,  got them for my girlfriend she loves them says its like wearing slippers because they are incredibly light,   got girlfriend loves says like wearing slippers incredibly light,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.7351}",0.7351,positive
  Serves intended purpose,  Good shoe,  serves intended purpose,   serves intended purpose,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  They are super comfortable. Loving them.,  Five Stars,  they are super comfortable loving them,   super comfortable loving,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.9022}",0.9022,positive
 reviewerName: vp22, reviewText: I have gotten so many compliments on the blue color and look of this shoe.  It is super comfortable.  The grip is wonderful for my indoor gym cross training classes.  I always order a half size larger in Nike brand shoes and thy fit perfectly as I did with this shoe., reviewername vp,  reviewername vp,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Fit is fine, but not much cushioning in the footbed. The first time wearing them on a long walk I developed a blister on the bottom of my foot.,  fit is fine,   fit fine,"{'neg': 0.0, 'neu': 0.189, 'pos': 0.811, 'compound': 0.5106}",0.5106,positive
  Perfect for the gym, could use a little more support in the toe area but very comfortable and light. Fit true to size.,  perfect for the gym,   perfect gym,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,positive
 reviewerName: MSM, reviewText: Meh, reviewername msm,  reviewername msm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love these! Super light and comfortable!,  Five Stars,  love these super light and comfortable,   love super light comfortable,"{'neg': 0.0, 'neu': 0.2, 'pos': 0.8, 'compound': 0.9183}",0.9183,positive
  Loved the products and services!!,  Five Stars,  loved the products and services,   loved products services,"{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.6688}",0.6688,positive
  It's hard to find a lightweight athletic shoe with a wide toe box. This shoe has that. I am happy with the support for walking and everyday wear. I wouldn't run in them. Now I just have to stock up on as many pair as I can afford before Nike discontinues them :). Don't you hate when that happens?,  Hurry before they're gone!,  its hard to find a lightweight athletic shoe with a wide toe box this shoe has that i am happy with the support for walking and everyday wear i wouldnt run in them now i just have to stock up on as many pair as i can afford before nike discontinues them  dont you hate when that happens,   hard find lightweight athletic shoe wide toe box shoe happy support walking everyday wear nt run stock pair afford nike discontinues   nt hate happens,"{'neg': 0.023, 'neu': 0.819, 'pos': 0.157, 'compound': 0.8401}",0.8401,positive
  The shoes are amazing,very comfortable and fit as expected highly recommended. :),  the shoes are amazing,   shoes amazing,"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.5859}",0.5859,positive
  Super comfy!!,  Five Stars,  super comfy,   super comfy,"{'neg': 0.0, 'neu': 0.182, 'pos': 0.818, 'compound': 0.6688}",0.6688,positive
  I needed a wide size, that option was not available. So I went up a half size bigger hoping that would work. It's not quite comfortable but I am  able to wear them. I like the shoes.,  i needed a wide size,   needed wide size,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Look great,  Five Stars,  look great,   look great,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
  I love these shoes. I am rather basic when it comes to Nikes, I don't need all the cool colors,  i love these shoes i am rather basic when it comes to nikes,   love shoes basic comes nikes,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.6369,positive
  Cute and comfy. Sleek design. My only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs. I have two pairs of this style.,  My second favorite.,  cute and comfy sleek design my only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs i have two pairs of this style,   cute comfy sleek design complaint fly wire loosens shoe slips heels heavy sled runs pairs style,"{'neg': 0.062, 'neu': 0.852, 'pos': 0.085, 'compound': 0.2023}",0.2023,positive
  I love them!,  Five Stars,  i love them,   love,"{'neg': 0.0, 'neu': 0.182, 'pos': 0.818, 'compound': 0.6696}",0.6696,positive
  normally Nike fits small so we go up a half size. These actually fit to my wife's appropriate size. So be ware when you order.,  Fit to actual size.,  normally nike fits small so we go up a half size these actually fit to my wifes appropriate size so be ware when you order,   normally nike fits small half size actually fit wifes appropriate size ware order,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}",0.3612,positive
  love these shoes. use them to workout inside and to work,  Five Stars,  love these shoes use them to workout inside and to work,   love shoes use workout inside work,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.6369,positive
  I was shocked at how small these shoes were, not true at all to size,  i was shocked at how small these shoes were,   shocked small shoes,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",-0.3182,negative
 Color::  White/Hyper Pink/Pure Platinum/Wolf Grey}, reviewerName: Donna Omar, color  whitehyper pinkpure platinumwolf grey,  color   whitehyper pinkpure platinumwolf grey,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  They fit perfectly. These shoes are great for walking - so very comfortable. Love them.,  These shoes are great for walking - so very comfortable,  they fit perfectly these shoes are great for walking  so very comfortable love them,   fit perfectly shoes great walking   comfortable love,"{'neg': 0.0, 'neu': 0.317, 'pos': 0.683, 'compound': 0.9657}",0.9657,positive
  Good fit and comfy.  Not so cushiony so definetly better for training and not for running or aerobics. Bought size 8 which is my usual size.,  Good choice for training shoe,  good fit and comfy  not so cushiony so definetly better for training and not for running or aerobics bought size  which is my usual size,   good fit comfy   cushiony definetly better training running aerobics bought size   usual size,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.8214}",0.8214,positive
  Light weight and comfortable,  Five Stars,  light weight and comfortable,   light weight comfortable,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5106}",0.5106,positive
 reviewerName: ddsmith8, reviewText: I was wearing running shoes for cardio dance classes at the gym because I thought they would be sufficient. After getting 2 blood blisters I did some research and found out cross trainers would be more appropriate which is how I ended up buying this pair. They are slightly longer in look then I  would like but I think that is typical of cross trainers. Also, reviewername ddsmith,  reviewername ddsmith,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Nikes usually run small and I'm a 7.5, so I ordered these in an 8 and they were actually very roomy.  I love them but they are definitely bright orange/coral and not bright crimson like the description said.  I thought they'd be more red in hue to wear with my Ohio State clothes,  nikes usually run small and im a ,   nikes usually run small m,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.,  Color was not at all what i expected. It ...,  color was not at all what i expected  it was more orange then red  not sure that i am going to keep them,   color expected   orange red   sure going,"{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.2411}",-0.2411,negative
  Perfect fit! Brand new in new box completely perfect condition and on sale!!! Awesome! Highly reccomend! Super cute shoes.,  Super cute and on sale!!,  perfect fit brand new in new box completely perfect condition and on sale awesome highly reccomend super cute shoes,   perfect fit brand new new box completely perfect condition sale awesome highly reccomend super cute shoes,"{'neg': 0.0, 'neu': 0.362, 'pos': 0.638, 'compound': 0.9747}",0.9747,positive
 reviewerName: ZS87, reviewText: Squeaky, reviewername zs,  reviewername zs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  If you wear Nike on the regular, then you should pretty much know your size. I wear only 7's in Nike,  if you wear nike on the regular,   wear nike regular,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Great arch support and cushion both for the heel and ball of the foot. Great aerobic shoe!,  Nice Support,  great arch support and cushion both for the heel and ball of the foot great aerobic shoe,   great arch support cushion heel ball foot great aerobic shoe,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.9041}",0.9041,positive
  Good quality, perfect fit.  It's a Nike!,  good quality,   good quality,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
  Size 8, but purchased 8.5 for a more comfortable feel,  size ,   size,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.,  ive always gotten this size in nike shoes with similar description,   ve gotten size nike shoes similar description,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Very lightweight. Normal Nike quality. Pink is very bright , colors look great together.,  very lightweight normal nike quality pink is very bright ,   lightweight normal nike quality pink bright,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.4927}",0.4927,positive
  Love them!!,  Five Stars,  love them,   love,"{'neg': 0.0, 'neu': 0.173, 'pos': 0.827, 'compound': 0.6988}",0.6988,positive
  Arrived on time. I probably should have gone with a 7.5 instead of an 8 because they do seem a little big, but if I wear thick socks they are fine. Also,  arrived on time i probably should have gone with a  instead of an  because they do seem a little big,   arrived time probably gone   instead   little big,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 Color::  Cool Grey/Volt/Pure Platinum}, reviewerName: Dawn Rosa, color  cool greyvoltpure platinum,  color   cool greyvoltpure platinum,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.3182}",0.3182,positive
  The lines don't really show up unless there is a bright light on them. But other than that they are perfect. They are very true to size and are comfortable the first time you put them on.,  4/5,  the lines dont really show up unless there is a bright light on them but other than that they are perfect they are very true to size and are comfortable the first time you put them on,   lines nt bright light perfect true size comfortable time,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.9484}",0.9484,positive
  I love these!  I ordered an 8.5 which is my normal shoe size and they fit great.  I used them for my strength training class and they performed well, and they are sooooo pretty!  Comfortable,  i love these  i ordered an  which is my normal shoe size and they fit great  i used them for my strength training class and they performed well,   love   ordered   normal shoe size fit great   strength training class performed,"{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.9468}",0.9468,positive
  Cute and comfortable,  Five Stars,  cute and comfortable,   cute comfortable,"{'neg': 0.0, 'neu': 0.137, 'pos': 0.863, 'compound': 0.743}",0.743,positive
  Very comfortable.,  Five Stars,  very comfortable,   comfortable,"{'neg': 0.0, 'neu': 0.218, 'pos': 0.782, 'compound': 0.5563}",0.5563,positive
  Sizing was perfect as ordered. Quality appears good, still new,  sizing was perfect as ordered quality appears good,   sizing perfect ordered quality appears good,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.765}",0.765,positive
  Size really depends on the brand.  I wear a 6.5 in Nike and they fit me perfectly.  These shoes are comfortable, they wrap around my feet like a bandage but do not restrict movement.,  size really depends on the brand  i wear a  in nike and they fit me perfectly  these shoes are comfortable,   size depends brand   wear   nike fit perfectly   shoes comfortable,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.875}",0.875,positive
  I was really excited when I opened the box to see the color is exactly like the image shows! I have the Nike flex tr 5 and used the same size to order these. They are a little bigger than expected but still comfortable.,  ... opened the box to see the color is exactly like the image shows,  i was really excited when i opened the box to see the color is exactly like the image shows i have the nike flex tr  and used the same size to order these they are a little bigger than expected but still comfortable,   excited opened box color exactly like image shows nike flex tr   size order little bigger expected comfortable,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.8094}",0.8094,positive
  Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!,  returning these the pictures on here make the shoe appear all black with a touch of pink in the check however,   returning pictures shoe appear black touch pink check,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  wow these are the most comfortable, light weight shoes. I love them!!,  wow these are the most comfortable,   wow comfortable,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.8122}",0.8122,positive
  love the lightweight and the fit,  Five Stars,  love the lightweight and the fit,   love lightweight fit,"{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.7717}",0.7717,positive
  fits perfect, my daughter loves them,  fits perfect,   fits perfect,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,positive
  Finally, after trying about 10 pairs of Nike's,  finally,   finally,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Came quick and my daughter LOVES them,  Five Stars,  came quick and my daughter loves them,   came quick daughter loves,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.6633}",0.6633,positive
  Great Gift - she loved it!  It's a nice shoe!,  Five Stars,  great gift  she loved it  its a nice shoe,   great gift   loved   nice shoe,"{'neg': 0.0, 'neu': 0.219, 'pos': 0.781, 'compound': 0.9358}",0.9358,positive
  Perfect!,  Just what I wanted!,  perfect,   perfect,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6114}",0.6114,positive
  Bought these for my daughter and she loves them.  She tried them on at a retail store a couple months prior, so I knew her exact size.,  bought these for my daughter and she loves them  she tried them on at a retail store a couple months prior,   bought daughter loves   tried retail store couple months prior,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5719}",0.5719,positive
  Great product and fast shipping!,  Five Stars,  great product and fast shipping,   great product fast shipping,"{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.6588}",0.6588,positive
 reviewerName: caridad Hidalgo, reviewText: Tried one in the store and bought it online but it was a different  kind of shoe . Too big , reviewername caridad hidalgo,  reviewername caridad hidalgo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I had the older generation of this shoe that survived 2 or 3 mud runs and of all my aches and pains, my feet was not one of them. This is because of this shoe. Nike really dropped the mic with this.,  i had the older generation of this shoe that survived  or  mud runs and of all my aches and pains,   older generation shoe survived     mud runs aches pains,"{'neg': 0.199, 'neu': 0.664, 'pos': 0.137, 'compound': -0.128}",-0.128,negative
  This pair fits perfect.....the first pair was wrong size in the right box.....definitely order again!!!!!,  Five Stars,  this pair fits perfectthe first pair was wrong size in the right boxdefinitely order again,   pair fits perfectthe pair wrong size right boxdefinitely order,"{'neg': 0.234, 'neu': 0.766, 'pos': 0.0, 'compound': -0.6449}",-0.6449,negative
  I returned these as they were not true to size. They ran large.,  Not true to size,  i returned these as they were not true to size they ran large,   returned true size ran large,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.3252}",-0.3252,negative
  wrong shoes,  One Star,  wrong shoes,   wrong shoes,"{'neg': 0.756, 'neu': 0.244, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
  There very nice,  Nice,  there very nice,   nice,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",0.4754,positive
 reviewerName: Lisa (Hartford CT), reviewText: I actually have 3 pairs of these trainers.  They are very comfortable, reviewername lisa hartford ct,  reviewername lisa hartford ct,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Just too big otherwise I liked them!,  Four Stars,  just too big otherwise i liked them,   big liked,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.4753}",0.4753,positive
  Comfortable shoe.  I would buy again,  Four Stars,  comfortable shoe  i would buy again,   comfortable shoe   buy,"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.5106}",0.5106,positive
 reviewerName: Amazon Customer, reviewText: Light weight and comfortable., reviewername amazon customer,  reviewername amazon customer,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.1779}",0.1779,positive
  Fit my size perfectly and very comfortable!,  Five Stars,  fit my size perfectly and very comfortable,   fit size perfectly comfortable,"{'neg': 0.0, 'neu': 0.274, 'pos': 0.726, 'compound': 0.8906}",0.8906,positive
  Love these shoes! Needed new running shoes and these are perfect. Light weight and fit great!,  Five Stars,  love these shoes needed new running shoes and these are perfect light weight and fit great,   love shoes needed new running shoes perfect light weight fit great,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.944}",0.944,positive
  Purchased these for our teenage daughter. She loves them. For both casual wear and sports.,  Five Stars,  purchased these for our teenage daughter she loves them for both casual wear and sports,   purchased teenage daughter loves casual wear sports,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.6705}",0.6705,positive
  Love these shoes, I have worn them all day and found them really comfortable with no aching feet at the end of the day. Fantastic colour and true to size. I also bought  Nike Women's Flex Supreme Tr 3 Pnk Pw/Mtllc Slvr/Cl Gry/White Training Shoe and these shoes are slightly more comfortable than those even though they look very similar.,  love these shoes,   love shoes,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,positive
  Super light weight comfortable! Kick box in these and run too. Good support!,  Super light weight versatile,  super light weight comfortable kick box in these and run too good support,   super light weight comfortable kick box run good support,"{'neg': 0.0, 'neu': 0.402, 'pos': 0.598, 'compound': 0.9244}",0.9244,positive
  i bought a pair from DSW for 50$ and they are very comfortable but i bought a size 6.5 when I normally where a size 7.  and even the 6.5 feels a little roomy.  I have wide flat feet btw.  im not sure if I will keep them even though i love their look and comfort.  I've been having feet problems while taking a gym class and I think they won't give me enough support when running.  they're great for wearing at home or gym and doing exercises in one place- extremely light weight and flexible, but i don't know if they'll last long if you use them everywhere else.  :(  i really like them but i cant just buy 2 different shoes.\nalso,  i bought a pair from dsw for  and they are very comfortable but i bought a size  when i normally where a size   and even the  feels a little roomy  i have wide flat feet btw  im not sure if i will keep them even though i love their look and comfort  ive been having feet problems while taking a gym class and i think they wont give me enough support when running  theyre great for wearing at home or gym and doing exercises in one place extremely light weight and flexible,   bought pair dsw   comfortable bought size   normally size      feels little roomy   wide flat feet btw   m sure love look comfort   ve having feet problems taking gym class think wo nt support running   great wearing home gym exercises place extremely light weight flexible,"{'neg': 0.057, 'neu': 0.725, 'pos': 0.218, 'compound': 0.9578}",0.9578,positive
  Not a lot of arch support but really lightweight.,  Four Stars,  not a lot of arch support but really lightweight,   lot arch support lightweight,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.2144}",0.2144,positive
  EXCELLENT,  Five Stars,  excellent,   excellent,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,positive
  Good for non-aerobic workout. Mesh was very comfortable but no support for lateral movrment.,  Not for aerobic exercise,  good for nonaerobic workout mesh was very comfortable but no support for lateral movrment,   good nonaerobic workout mesh comfortable support lateral movrment,"{'neg': 0.152, 'neu': 0.476, 'pos': 0.371, 'compound': 0.5575}",0.5575,positive
  Favorite Nikes ever. I already owned this style and was ready for a new pair so I went with these. Love the color and they fit great.,  Favorite Nikes ever,  favorite nikes ever i already owned this style and was ready for a new pair so i went with these love the color and they fit great,   favorite nikes owned style ready new pair went love color fit great,"{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.946}",0.946,positive
  Light-weight comfy shoes.,  Four Stars,  lightweight comfy shoes,   lightweight comfy shoes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Tried a lot of shoes for cross training and these were the best!,  ... of shoes for cross training and these were the best!,  tried a lot of shoes for cross training and these were the best,   tried lot shoes cross training best,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.6696}",0.6696,positive
  Wish they had a little more support/cushion, but I love everything else about them!,  wish they had a little more supportcushion,   wish little supportcushion,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",0.4019,positive
 reviewerName: Darlene Christ, reviewText: These are as far as comfort goes the most comfortable pair of sneakers I have I suffer from sciatica pain that goes into my feet I have difficulty finding the proper support and comfort in shoes I would recommend these most definitely., reviewername darlene christ,  reviewername darlene christ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  After my purchased I found out they are overpriced. They feel good but I will not recommended if you need Wide fit.,  They feel good but I will not recommended if you need Wide ...,  after my purchased i found out they are overpriced they feel good but i will not recommended if you need wide fit,   purchased found overpriced feel good recommended need wide fit,"{'neg': 0.078, 'neu': 0.706, 'pos': 0.216, 'compound': 0.5126}",0.5126,positive
  I bought a pair of these in my size, but they are too small. I can get my feet in them but not comfortably. It's too bad because I can tell the soles are comfortable. Of course,  i bought a pair of these in my size,   bought pair size,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love them!  Very comfortable and great for weight training!,  Love them! Very comfortable and great for weight training,  love them  very comfortable and great for weight training,   love   comfortable great weight training,"{'neg': 0.0, 'neu': 0.32, 'pos': 0.68, 'compound': 0.9292}",0.9292,positive
  Took other reviewers advice and went up half size and it was too large. I thought this was a more sock-like fit but it had a tongue that came up high on my ankle not at all sock like. Nice looking and very light weight with a rounded square toe that left plenty of room front foot and toes. These just weren't what I was looking for.,  Not as expected,  took other reviewers advice and went up half size and it was too large i thought this was a more socklike fit but it had a tongue that came up high on my ankle not at all sock like nice looking and very light weight with a rounded square toe that left plenty of room front foot and toes these just werent what i was looking for,   took reviewers advice went half size large thought socklike fit tongue came high ankle sock like nice looking light weight rounded square toe left plenty room foot toes nt looking,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.8334}",0.8334,positive
  Really comfortable and very cute.,  Five Stars,  really comfortable and very cute,   comfortable cute,"{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.7837}",0.7837,positive
  These shoes are great.  This is the second pair that I have purchased and I love them.,  Really Comfortable Shoes,  these shoes are great  this is the second pair that i have purchased and i love them,   shoes great   second pair purchased love,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.8519}",0.8519,positive
  Fit to size. Comfortable,  Five Stars,  fit to size comfortable,   fit size comfortable,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7003}",0.7003,positive
  Picky daughter actually loves them.,  Worth it.,  picky daughter actually loves them,   picky daughter actually loves,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.5719,positive
 reviewerName: Meredith P, reviewText: Fit like a dream! Great for cross-training/HITT videos I do everyday. Great for walking too. Look amazing!, reviewername meredith p,  reviewername meredith p,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Most comfortable training shoes I've worn in a long time.,  Lightweight yet supportive,  most comfortable training shoes ive worn in a long time,   comfortable training shoes ve worn long time,"{'neg': 0.172, 'neu': 0.547, 'pos': 0.281, 'compound': 0.3384}",0.3384,positive
  I bought these sneakers for boot camp class.  They are very light weight and different than other sneakers that I have owned.  Have only used them a few times, but like them so far.,  i bought these sneakers for boot camp class  they are very light weight and different than other sneakers that i have owned  have only used them a few times,   bought sneakers boot camp class   light weight different sneakers owned   times,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I got a hot spot on the bottom of my foot the first day I wore them.,  Great red color,  i got a hot spot on the bottom of my foot the first day i wore them,   got hot spot foot day wore,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Still breaking them in for use at the gym.  I think once I get used to them, they'll work great!  :),  still breaking them in for use at the gym  i think once i get used to them,   breaking use gym   think,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
